#separator:tab
#html:true
#notetype:Basic
#deck column:1
#tags column:4
Optionshandel Grundlagen::Grundlagen	Was ist eine <b>Option</b>?	Ein <b>Vertrag</b> über den zukünftigen Kauf oder Verkauf eines <b>Basiswerts</b> (engl. <i>underlying</i>) – z.&nbsp;B. einer Aktie (engl. <i>stock</i>) – zu einem vorher festgelegten Preis.<br><br>Der Käufer (engl. <i>buyer</i>) erhält ein <b>Recht</b> (engl. <i>right</i>) – keine Pflicht (engl. <i>obligation</i>).	grundlagen
Optionshandel Grundlagen::Grundlagen	Was ist ein <b>Call</b> (dt. Kaufoption)?	Das <b>Recht, die Aktie zu kaufen</b> (engl. <i>to buy</i>) – zu einem festen Preis.<br><br>🧠 Merkbild: <b>Call = Reservierung.</b> Du sicherst dir heute den Kaufpreis für später.<br>Der Käufer erwartet <b>steigende</b> Kurse (engl. <i>bullish</i>).	grundlagen call
Optionshandel Grundlagen::Grundlagen	Was ist ein <b>Put</b> (dt. Verkaufsoption)?	Das <b>Recht, die Aktie zu verkaufen</b> (engl. <i>to sell</i>) – zu einem festen Preis.<br><br>🧠 Merkbild: <b>Put = Versicherung.</b> Du sicherst dich gegen fallende Kurse ab.<br>Der Käufer erwartet <b>fallende</b> Kurse (engl. <i>bearish</i>).	grundlagen put
Optionshandel Grundlagen::Grundlagen	Merkbild: Warum ist ein <b>Call</b> wie eine <b>Reservierung</b>?	Du sicherst dir <b>heute</b> das Recht, etwas <b>später</b> zu einem festen Preis zu kaufen – egal, wie teuer es dann wirklich ist.	grundlagen call eselsbruecke
Optionshandel Grundlagen::Grundlagen	Merkbild: Warum ist ein <b>Put</b> wie eine <b>Versicherung</b>?	Du sicherst dir das Recht, später zu einem festen Preis zu <b>verkaufen</b> – wie eine Versicherung gegen fallende Kurse.	grundlagen put eselsbruecke
Optionshandel Grundlagen::Grundlagen	Was ist der <b>Basiswert</b> (engl. <i>Underlying</i>)?	Die Aktie (engl. <i>stock</i>) oder der Wert, auf den sich die Option bezieht (z.&nbsp;B. Apple).	grundlagen begriffe
Optionshandel Grundlagen::Grundlagen	Was ist der <b>Strike</b> (dt. Ausübungs- oder Basispreis)?	Der vereinbarte Preis, zu dem die Aktie gekauft oder verkauft werden darf.<br><br>Vollständig engl.: <i>strike price</i>.	grundlagen begriffe strike
Optionshandel Grundlagen::Grundlagen	Was ist die <b>Prämie</b> (engl. <i>Premium</i>) einer Option?	Der <b>Preis der Option</b> selbst.<br><br>Der <b>Käufer zahlt</b> sie, der <b>Verkäufer erhält</b> sie.	grundlagen begriffe praemie
Optionshandel Grundlagen::Grundlagen	Wie viele Aktien umfasst <b>1 Optionskontrakt</b> (engl. <i>option contract</i>)?	<b>100 Aktien.</b> Der Multiplikator ist also immer 100.<br><br>💡 Eine Prämie von „1,50&nbsp;$“ bedeutet in Wirklichkeit 1,50&nbsp;$ × 100 = <b>150&nbsp;$</b> pro Kontrakt.	grundlagen begriffe kontrakt
Optionshandel Grundlagen::Grundlagen	Was bedeutet <b>Ausübung</b> (engl. <i>Exercise</i>)?	Der <b>Käufer</b> nutzt sein Recht und kauft bzw. verkauft die Aktien zum Strike.	grundlagen begriffe
